菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
串串香,chuanchuanxiang,180.0,9.0,9.0,15.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/chongqing-skewer-hot-pot-cn,已授权
青海酸奶,qinghaisuannai,70.0,3.0,3.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/qinghai-yogurt-cn,已授权
卤鸡爪,lujizhao,210.0,18.0,14.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/chongqing-braised-chicken-feet-cn,已授权
藏式面片汤,cangshimianpiantang,70.0,2.0,1.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/thenthuk-cn,已授权
烤脑花,kaonaohua,220.0,11.0,18.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/chongqing-grilled-brain-cn,已授权
牦牛饺子,maoniujiaozi,210.0,11.0,6.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/yak-momos-cn,已授权
江湖鱼,jianghuyu,140.0,16.0,6.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/jianghu-spicy-fish-cn,已授权
酥油茶,suyoucha,70.0,1.0,6.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/beverages/butter-tea-cn,已授权
糌粑,zanba,370.0,12.0,3.0,72.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/tsampa-cn,已授权
重庆冰粉,chongqingbingfen,110.0,0.0,0.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/chongqing-ice-jelly-cn,已授权
奶豆腐,naidoufu,265.0,18.0,20.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dairy/milk-tofu-cn,已授权
板凳面,bandengmian,150.0,4.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/chongqing-bench-noodles-cn,已授权
红糖糍粑,hongtangciba,240.0,3.0,4.0,48.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/brown-sugar-glutinous-rice-cake-cn,已授权
蒙古奶茶,menggunaicha,45.0,1.0,2.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/beverages/mongolian-milk-tea-cn,已授权
山城小汤圆,shanchengxiaotangyuan,190.0,3.0,2.0,40.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/shancheng-small-tangyuan-cn,已授权
烤全羊,kaoquanyang,250.0,22.0,18.0,0.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/roast-whole-lamb-cn,已授权
椰子饭,yezifan,185.0,3.0,4.0,33.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/hainan-coconut-rice-cn,已授权
永川豆豉鱼,yongchuandouchiyu,180.0,16.0,11.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/yongchuan-black-bean-fish-cn,已授权
和乐蟹,helexie,110.0,18.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/hele-crab-cn,已授权
重庆啤酒鸭,chongqingpijiuya,210.0,17.0,14.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/chongqing-beer-duck-cn,已授权
嘉积鸭,jiajiya,210.0,18.0,15.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/jiaji-duck-cn,已授权
芋儿鸡,yuerji,160.0,10.0,8.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/chongqing-taro-chicken-cn,已授权
