菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
焦圈,jiaoquan,350.0,7.0,16.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/fried-ring-cn,已授权
奶油炸糕,naiyouzhagao,320.0,5.0,13.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/cream-fried-cake-cn,已授权
蜜麻花,mimahua,420.0,6.0,18.0,60.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/sugar-ear-pastry-cn,已授权
豆腐脑,doufunao,60.0,4.0,3.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/beijing-tofu-pudding-cn,已授权
酱肘子,jiangzhouzi,270.0,18.0,21.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/beijing-soy-braised-pork-hock-cn,已授权
萨其马,saqima,420.0,6.0,16.0,62.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/saqima-cn,已授权
芝麻烧饼,zhimashaobing,310.0,8.0,7.0,54.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/sesame-shaobing-cn,已授权
糖火烧,tanghuoshao,330.0,6.0,7.0,60.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/sugar-fire-sesame-cake-cn,已授权
麻豆腐,madoufu,140.0,8.0,8.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/mung-bean-residue-stir-fry-cn,已授权
炙子烤肉,zhizikaorou,220.0,18.0,15.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/zhizi-barbecue-cn,已授权
面茶,miancha,110.0,2.0,1.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/beijing-noodle-tea-cn,已授权
麻酱面,majiangmian,220.0,7.0,7.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/sesame-paste-noodles-cn,已授权
冰糖葫芦,bingtanghulu,252.0,1.0,0.0,62.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/tanghulu-cn,已授权
豌豆黄,wandouhuang,210.0,6.0,4.0,40.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/pea-cake-cn,已授权
爆肚,baodu,90.0,16.0,3.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/quick-fried-tripe-cn,已授权
炒肝,chaogan,120.0,12.0,6.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/fried-liver-cn,已授权
炸灌肠,zhaguanchang,248.0,5.0,12.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/fried-guanchang-cn,已授权
门钉肉饼,mendingroubing,260.0,10.0,10.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/men-ding-rou-bing-cn,已授权
驴打滚,lvdagun,220.0,4.0,4.0,42.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/lv-dagun-cn,已授权
艾窝窝,aiwowo,210.0,4.0,3.0,42.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/aiwowo-cn,已授权
豆汁,douzhi,35.0,2.0,0.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/beverages/douzhi-cn,已授权
卤煮火烧,luzhuhuoshao,110.0,5.0,3.0,15.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/lu-zhu-huo-shao-cn,已授权
涮羊肉,shuanyangrou,80.0,9.0,4.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/shuan-yang-rou-cn,已授权
炸酱面,zhajiangmian,210.0,7.0,5.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/zhajiangmian-cn,已授权
北京烤鸭,beijingkaoya,246.0,18.0,18.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/peking-duck-cn,已授权
北京地瓜球,beijingdiguaqiu,220.0,2.0,6.0,40.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/beijing-sweet-potato-balls-cn,已授权
炸肝饼,zhaganbing,270.0,11.0,12.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/beijing-fried-liver-pancake-cn,已授权
豆酱面汤,doujiangmiantang,90.0,3.0,2.0,15.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/beijing-soybean-paste-noodle-soup-cn,已授权
炸酱包,zhajiangbao,220.0,7.0,6.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/beijing-fried-sauce-dumplings-cn,已授权
京酱肉丝,jingjiangrousi,180.0,15.0,10.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/peking-pork-slices-cn,已授权
