菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
酸菜鱼,suancaiyu,110,13.0,4.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E9%85%B8%E8%8F%9C%E9%B1%BC,已授权
怪味鸡,guaiweiji,210,18.0,13.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E6%80%AA%E5%91%B3%E9%B8%A1,已授权
蒜泥白肉,suannibairou,260,16.0,20.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E8%92%9C%E6%B3%A5%E7%99%BD%E8%82%89,已授权
甜水面,tianshuimian,210,6.0,4.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E7%94%9C%E6%B0%B4%E9%9D%A2,已授权
冒菜,maocai,65,4.0,2.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E5%86%92%E8%8F%9C,已授权
川北凉粉,chuanbeiliangfen,110,2.0,2.0,23.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E5%B7%9D%E5%8C%97%E5%87%89%E7%B2%89,已授权
乐山跷脚牛肉,leshanqiaojiaoniurou,80,8.0,4.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/leshan-qiao-jiao-beef-cn,已授权
樟茶鸭,zhangchaya,290,19.0,23.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E6%A8%9F%E8%8C%B6%E9%B8%AD,已授权
钵钵鸡,boboji,170,12.0,11.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E9%92%B5%E9%92%B5%E9%B8%A1,已授权
干煸四季豆,ganbiansijidou,110,2.0,7.0,9.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/gan-bian-si-ji-dou-cn,已授权
宜宾燃面,yibinranmian,220,6.0,7.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E5%AE%9C%E5%AE%BE%E7%87%83%E9%9D%A2,已授权
钟水饺,zhongshuijiao,210,7.0,6.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E9%92%9F%E6%B0%B4%E9%A5%BA,已授权
龙抄手,longchaoshou,210,7.0,6.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E9%BE%99%E6%8A%84%E6%89%8B,已授权
酸辣粉,suanlafen,130,2.0,2.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E9%85%B8%E8%BE%A3%E7%B2%89,已授权
麻辣香锅,malaxiangguo,180,7.0,11.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E9%BA%BB%E8%BE%A3%E9%A6%99%E9%94%85,已授权
口水鸡,koushuiji,210,16.0,14.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E5%8F%A3%E6%B0%B4%E9%B8%A1,已授权
夫妻肺片,fuqifeipian,210,16.0,14.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E5%A4%AB%E5%A6%BB%E8%82%BA%E7%89%87,已授权
水煮牛肉,shuizhuniurou,180,15.0,11.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E6%B0%B4%E7%85%AE%E7%89%9B%E8%82%89,已授权
水煮鱼,shuizhuyu,140,15.0,7.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E6%B0%B4%E7%85%AE%E9%B1%BC,已授权
鱼香肉丝,yuxiangrousi,170,13.0,9.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E9%B1%BC%E9%A6%99%E8%82%89%E4%B8%9D,已授权
回锅肉,huiguorou,247,13.0,19.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E5%9B%9E%E9%94%85%E8%82%89,已授权
担担面,dandanmian,210,6.0,7.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E6%8B%85%E6%8B%85%E9%9D%A2,已授权
四川火锅,sichuanhuoguo,60,2.0,3.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/sichuan/%E5%9B%9B%E5%B7%9D%E7%81%AB%E9%94%85,已授权
