菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
温州糯米饭,wenzhounuomifan,180.0,3.0,2.0,37.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/wenzhou-glutinous-rice-cn,已授权
衢州鸭头,quzhouyatou,210.0,16.0,15.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/quzhou-duck-head-cn,已授权
宁波年糕汤,ningboniangaotang,90.0,2.0,1.0,19.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/ningbo-rice-cake-soup-cn,已授权
红膏炝蟹,honggaoqiangxie,110.0,16.0,4.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/ningbo-red-paste-crab-cn,已授权
桂花糯米藕,guihuanuomiou,180.0,3.0,0.0,40.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/osmanthus-lotus-root-cn,已授权
绍兴臭豆腐,shaoxingchoudoufu,180.0,10.0,12.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/shaoxing-stinky-tofu-cn,已授权
荷叶粉蒸肉,heyefenzhengrou,230.0,7.0,14.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/lotus-leaf-steamed-pork-with-rice-flour-cn,已授权
韭黄鳝丝,jiuhuangshansi,110.0,15.0,4.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/hangzhou-fried-eel-with-chives-cn,已授权
蜜汁火方,mizhihuofang,246.0,12.0,14.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/jinhua-ham-with-honey-sauce-cn,已授权
温州鱼丸,wenzhouyuwan,110.0,14.0,2.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/wenzhou-fish-balls-cn,已授权
台州麦饼,taizhoumaibing,260.0,7.0,3.0,50.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/taizhou-wheat-cake-cn,已授权
宁波炒年糕,ningbochaoniangao,180.0,3.0,2.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/ningbo-fried-rice-cakes-cn,已授权
雪菜大汤黄鱼,xuecaidatanghuangyu,90.0,13.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/yellow-croaker-with-pickled-greens-cn,已授权
绍兴醉虾,shaoxingzuixia,110.0,18.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/shaoxing-drunken-shrimp-cn,已授权
杭州酱鸭,hangzhoujiangya,249.0,18.0,17.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/hangzhou-soy-sauce-duck-cn,已授权
炸响铃,zhaxiangling,310.0,10.0,20.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/fried-tofu-skin-rolls-cn,已授权
绍兴醉鸡,shaoxingzuiji,210.0,23.0,12.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/shaoxing-drunken-chicken-cn,已授权
西湖牛肉羹,xihuniurougeng,65.0,6.0,2.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/west-lake-beef-soup-cn,已授权
宁波汤圆,ningbotangyuan,230.0,3.0,4.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/ningbo-tangyuan-cn,已授权
宋嫂鱼羹,songsaoyugeng,60.0,5.0,2.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/song-sao-fish-soup-cn,已授权
嘉兴粽子,jiaxingzongzi,180.0,4.0,2.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/jiaxing-zongzi-cn,已授权
片儿川,pianerchuan,130.0,4.0,2.0,24.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/pian-er-chuan-noodles-cn,已授权
龙井虾仁,longjingxiaren,110.0,16.0,4.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/longjing-shrimp-cn,已授权
西湖醋鱼,xihucuyu,140.0,16.0,5.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/west-lake-vinegar-fish-cn,已授权
东坡肉,dongporou,340.0,10.0,31.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/dongpo-pork-cn,已授权
