菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
奶黄包,naihuangbao,249.0,6.0,5.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/steamed-custard-bun-cn,已授权
烧乳鸽,shaoruge,210.0,22.0,13.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/roast-pigeon-cn,已授权
豉油鸡,shiyouji,210.0,18.0,13.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/soy-sauce-chicken-cn,已授权
豉汁蒸排骨,shizhizhengpaigu,230.0,16.0,16.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/steamed-pork-ribs-with-black-bean-cn,已授权
姜撞奶,jiangzhuangnai,90.0,3.0,3.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/ginger-milk-curd-cn,已授权
双皮奶,shuangpinai,120.0,4.0,5.0,15.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/double-skin-milk-cn,已授权
炸两,zhaliang,230.0,5.0,9.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/zha-liang-cn,已授权
牛腩面,niunanmian,170.0,7.0,3.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/beef-brisket-noodles-cn,已授权
姜葱蒸鱼,jiangcongzhengyu,110.0,18.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/steamed-fish-with-ginger-and-scallion-cn,已授权
椒盐鱿鱼,jiaoyanyouyu,180.0,18.0,7.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/salt-and-pepper-squid-cn,已授权
咕噜肉,gulurou,210.0,10.0,11.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/sweet-and-sour-pork-cn,已授权
干炒牛河,ganchaoniuhe,180.0,8.0,5.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/beef-chow-fun-cn,已授权
皮蛋瘦肉粥,pidanshourouzhou,65.0,3.0,1.0,11.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/century-egg-pork-congee-cn,已授权
煲仔饭,baozaifan,180.0,4.0,3.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/claypot-rice-cn,已授权
白切鸡,baiqieji,180.0,24.0,9.0,0.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/white-cut-chicken-cn,已授权
脆皮烧肉,cuipishaorou,340.0,15.0,31.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/crispy-roast-pork-cn,已授权
叉烧,chashao,220.0,18.0,13.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/char-siu-cn,已授权
烧鹅,shaoe,240.0,18.0,18.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/roast-goose-cn,已授权
云吞面,yuntunmian,160.0,6.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/cantonese-wonton-noodles-cn,已授权
萝卜糕,luobogao,140.0,2.0,2.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/turnip-cake-cn,已授权
糯米鸡,nuomiji,185.0,5.0,4.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/lo-mai-gai-cn,已授权
肠粉,changfen,120.0,3.0,2.0,24.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/cheung-fun-cn,已授权
叉烧包,chashaobao,240.0,7.0,5.0,41.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/char-siu-bao-cn,已授权
烧卖,shaomai,180.0,7.0,4.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/siu-mai-cn,已授权
虾饺,xiajiao,120.0,7.0,2.0,20.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/har-gow-cn,已授权
马拉糕,malagao,248.0,5.0,4.0,48.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/steamed-sponge-cake-cn,已授权
虾米韭黄肠粉,xiamijiuhuangchangfen,140.0,5.0,2.0,25.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/steamed-rice-rolls-with-dried-shrimp-and-chive-cn,已授权
牛丸汤,niuwantang,60.0,5.0,3.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/beef-ball-soup-cn,已授权
蒜蓉粉丝蒸扇贝,suanrongfensizhengshanbei,110.0,10.0,3.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/steamed-scallops-with-garlic-vermicelli-cn,已授权
蛇羹,shegeng,60.0,7.0,2.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/snake-soup-cn,已授权
