菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
芋泥,yuni,180.0,2.0,3.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/taro-paste-cn,已授权
泉州姜母鸭,quanzhoujiangmuya,210.0,18.0,14.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/quanzhou-ginger-duck-cn,已授权
莆田卤面,putianlumian,170.0,5.0,3.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/putian-lor-mee-cn,已授权
沙县扁肉,shaxianbianrou,210.0,8.0,5.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/shaxian-wonton-cn,已授权
沙县拌面,shaxianbanmian,180.0,5.0,3.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/shaxian-peanut-sauce-noodles-cn,已授权
红糟鸡,hongzaoji,180.0,16.0,10.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/fuzhou-red-wine-chicken-cn,已授权
荔枝肉,lizhirou,180.0,10.0,8.0,16.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/lychee-pork-cn,已授权
福建炒饭,fujianchaofan,160.0,3.0,3.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/fujian-fried-rice-cn,已授权
沙茶面,shachamian,170.0,5.0,4.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/shacha-noodles-cn,已授权
海蛎煎,hailijian,140.0,8.0,6.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/oyster-omelette-cn,已授权
福州鱼丸,fuzhouyuwan,120.0,12.0,4.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/fuzhou-fish-balls-cn,已授权
佛跳墙,futiaoqiang,80.0,7.0,4.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/buddha-jumps-over-the-wall-cn,已授权
闽南薄饼,minnanbaobing,180.0,5.0,4.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/minnan-spring-rolls-cn,已授权
泉州萝卜饭,quanzhouluobofan,140.0,3.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/quanzhou-radish-rice-cn,已授权
石花膏,shihuagao,60.0,0.0,0.0,15.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/seaweed-jelly-cn,已授权
福州鱼面,fuzhouyumian,140.0,5.0,1.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/fuzhou-fish-noodles-cn,已授权
醉排骨,zuipaigu,245.0,16.0,16.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/fujian-drunken-ribs-cn,已授权
漳州卤面,zhangzhoulumian,150.0,4.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/zhangzhou-lor-mee-cn,已授权
崇武鱼卷,chongwuyujuan,130.0,16.0,4.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/chongwu-fish-rolls-cn,已授权
花生汤,huashengtang,220.0,6.0,14.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/xiamen-peanut-soup-cn,已授权
太平燕,taipingyan,180.0,6.0,3.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/fuzhou-rouyan-cn,已授权
五香卷,wuxiangjuan,220.0,10.0,12.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/fujian-five-spice-rolls-cn,已授权
土笋冻,tusundong,60.0,8.0,2.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/tusundong-cn,已授权
福州锅边糊,fuzhouguobianhu,110.0,3.0,1.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/fuzhou-pot-side-paste-cn,已授权
福鼎肉片,fudingroupian,80.0,7.0,3.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/fuding-pork-slices-cn,已授权
福州红曲米糕,fuzhouhongqumigao,210.0,4.0,1.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/fuzhou-red-yeast-rice-cake-cn,已授权
莆田盐焗花蛤,putianyanjuhuaha,90.0,15.0,2.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/putian-salt-baked-clams-cn,已授权
泉州花生面,quanzhouhuashengmian,220.0,7.0,6.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/quanzhou-peanut-noodle-soup-cn,已授权
厦门沙茶牛肉串,xiamenshachaniurouchuan,180.0,18.0,10.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/xiamen-satay-beef-skewers-cn,已授权
闽南蚵仔面线,minnanhezaimianxian,130.0,5.0,2.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/minnan-oyster-vermicelli-cn,已授权
