菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
洋芋糍粑,yangyuciba,180.0,3.0,2.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/shangluo-potato-ciba-cn,已授权
宫廷牛肉饼,gongtingniuroubing,260.0,11.0,11.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/xian-beef-patty-cn,已授权
蜂蜜凉粽子,fengmiliangzongzi,180.0,3.0,0.0,39.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/honey-cold-zongzi-cn,已授权
子长煎饼,zizhangjianbing,210.0,6.0,5.0,35.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/zichang-jianbing-cn,已授权
肉丸胡辣汤,rouwanhulatang,90.0,5.0,3.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/vegetable-stew-with-meatballs-cn,已授权
葫芦鸡,huluji,220.0,18.0,13.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/gourd-shaped-chicken-cn,已授权
粉蒸肉,fenzhengrou,230.0,10.0,14.0,14.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/shaanxi-steamed-pork-with-rice-flour-cn,已授权
石子馍,shizimo,270.0,7.0,2.0,54.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/shizimo-cn,已授权
黄桂柿子饼,huangguishizibing,220.0,3.0,2.0,48.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/osmanthus-persimmon-cake-cn,已授权
贾三灌汤包,jiasanguantangbao,210.0,7.0,6.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/jiasan-soup-dumplings-cn,已授权
锅盔,guokui,300.0,8.0,5.0,55.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/guokui-cn,已授权
甑糕,zenggao,210.0,4.0,2.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/zenggao-cn,已授权
酸汤水饺,suantangshuijiao,180.0,6.0,3.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/sour-soup-dumplings-cn,已授权
油泼面,youpomian,220.0,6.0,5.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/youpo-mian-cn,已授权
荞面饸饹,qiaomianhele,110.0,4.0,0.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/shaanxi-buckwheat-hele-cn,已授权
岐山臊子面,qishansaozimian,180.0,6.0,3.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/qishan-saozi-noodles-cn,已授权
户县软面,huxianruanmian,150.0,5.0,1.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/huxian-soft-noodles-cn,已授权
杨凌蘸水面,yanglingzhanshuimian,180.0,5.0,2.0,35.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/yangling-dipped-noodles-cn,已授权
葫芦头泡馍,hulutoupaomo,110.0,5.0,2.0,16.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/hulutou-paomo-cn,已授权
秦镇米皮,qinzhenmipi,130.0,2.0,1.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/qinzhen-rice-skin-cn,已授权
羊肉泡馍,yangroupaomo,120.0,7.0,3.0,15.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/yangrou-paomo-cn,已授权
凉皮,liangpi,150.0,3.0,1.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/liangpi-cn,已授权
汉中热米皮,hanzhongremipi,130.0,2.0,0.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/hanzhong-hot-rice-skin-cn,已授权
肉夹馍,roujiamo,230.0,10.0,7.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/roujiamo-cn,已授权
biangbiang面,biangbiangmian,180.0,5.0,1.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/biangbiang-noodles-cn,已授权
油炸柿子饼,youzhashizibing,255.0,3.0,7.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/shaanxi-fried-persimmon-cake-cn,已授权
汉中面皮汤,hanzhongmianpitang,90.0,2.0,1.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/hanzhong-mianpi-soup-cn,已授权
秦腔蒸肉包,qinqiangzhengroubao,220.0,8.0,5.0,35.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/qinqiang-steamed-pork-bun-cn,已授权
孜然羊肉夹馍,ziranyangroujiamo,240.0,13.0,8.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/shaanxi-rougamo-with-cumin-lamb-cn,已授权
岐山醋鱼,qishancuyu,140.0,16.0,5.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/qishan-vinegar-fish-cn,已授权
