菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
荆州鱼糕,荆沙鱼糕,120.0,11.0,6.0,5.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
恩施炕土豆,恩施炕土豆,150.0,2.5,6.0,21.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
襄阳牛杂面,襄阳牛杂面,180.0,10.0,8.0,18.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
公安锅盔,公安锅盔,250.0,8.0,6.0,42.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
天门蒸菜,天门蒸菜,90.0,6.0,4.0,9.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
沔阳三蒸,沔阳三蒸,110.0,9.0,4.0,11.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
孝感麻糖,孝感麻糖,400.0,4.0,14.0,68.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
武汉糯米包油条,武汉糯米包油条,280.0,5.0,8.0,47.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
黄陂三鲜,黄陂三鲜,130.0,10.0,7.0,7.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
宜昌萝卜饺子,宜昌萝卜饺子,220.0,5.0,10.0,28.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
平遥牛肉,平遥牛肉,170.0,16.0,10.0,4.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
太原头脑,太原头脑,130.0,15.0,7.0,3.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
大同羊杂割,大同羊杂割,130.0,15.0,7.0,3.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
平遥碗托,平遥碗托,120.0,4.0,3.0,21.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
山西过油肉,山西过油肉,210.0,14.0,15.0,6.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
定襄蒸肉,定襄蒸肉,100.0,9.0,4.0,8.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
闻喜煮饼,闻喜煮饼,250.0,6.0,11.0,33.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
太谷饼,太谷饼,250.0,6.0,11.0,33.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
长子炒饼,长子炒饼,250.0,6.0,11.0,33.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
高平烧豆腐,高平烧豆腐,95.0,8.0,5.5,3.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
南昌白糖糕,南昌白糖糕,340.0,6.0,14.0,51.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
景德镇碱水粑,景德镇碱水粑,200.0,4.0,2.0,42.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
吉安霉鱼,吉安霉鱼,115.0,17.0,4.0,3.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
婺源糊豆腐,婺源糊豆腐,95.0,8.0,5.5,3.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
九江茶饼,九江茶饼,250.0,6.0,11.0,33.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
井冈山烟笋烧肉,井冈山烟笋烧肉,250.0,15.0,20.0,4.0,中国食物成分表（第6版）,https://www.chinanutri.cn/,已授权
