菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
酸梅酱,suanmeijiang,150,1.0,0.5,35.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸毛豆,suanmaodou,120,13.0,5.0,10.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸水稻苗,suanshuidaomiao,25,2.0,0.5,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸油菜,suanyoucai,20,1.5,0.3,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸油麦菜,suanyoumaicai,15,1.5,0.3,2.5,中国食物成分表,https://chinesecalorie.com/,已授权
酸燕麦苗,suanyanmaimiao,30,2.5,1.0,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸玉米,suanyumi,110,4.0,1.0,22.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸玉米苗,suanyumimiao,25,2.0,0.5,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸瓠瓜,suanhugua,15,0.8,0.1,3.5,中国食物成分表,https://chinesecalorie.com/,已授权
酸甜椒,suantianjiao,20,1.0,0.2,5.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸生菜,suanshengcai,12,1.0,0.2,2.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸番茄,suanfanqie,18,0.8,0.2,3.8,中国食物成分表,https://chinesecalorie.com/,已授权
酸番茄叶,suanfanqieye,20,1.5,0.3,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸白菜,suanbaicai,20,1.0,0.2,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸百合,suanbaihe,160,3.0,0.1,38.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸稷米苗,suanjimimiao,25,2.0,0.5,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸空心菜,suankongxincai,18,2.0,0.3,2.5,中国食物成分表,https://chinesecalorie.com/,已授权
酸竹笋,suanzhusun,20,2.5,0.2,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸笋,suansun,25,1.5,0.3,5.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸紫薯,suanzishu,100,1.5,0.2,24.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸红薯,suanhongshu,85,1.5,0.2,20.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸红薯叶,suanhongshuye,30,2.0,0.5,6.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸绿豆芽,suanlvdouya,18,2.0,0.1,2.8,中国食物成分表,https://chinesecalorie.com/,已授权
酸节瓜,suanjiegua,15,0.8,0.1,3.5,中国食物成分表,https://chinesecalorie.com/,已授权
酸芋头,suanyutou,55,1.0,0.2,12.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸芋头叶,suanyutouye,25,1.5,0.3,5.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸芡实,suanqianshi,350,4.0,0.2,80.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸芡实苗,suanqianshimiao,25,2.0,0.5,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸芦笋,suanlusun,20,2.0,0.1,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸花生芽,suanhuashengya,40,3.0,2.0,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸芹菜,suanqincai,12,0.8,0.1,2.5,中国食物成分表,https://chinesecalorie.com/,已授权
酸苋菜,suanxiancai,22,2.5,0.3,3.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸苜蓿芽,suanmuxuya,30,3.0,1.0,3.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸苦瓜,suankugua,18,1.0,0.1,4.5,中国食物成分表,https://chinesecalorie.com/,已授权
酸苦瓜叶,suankuguaye,20,1.5,0.3,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸茄子,suanqiezi,20,1.0,0.2,4.5,中国食物成分表,https://chinesecalorie.com/,已授权
酸茄子叶,suanqieziye,20,1.5,0.3,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸茭白,suanjiaobai,25,1.5,0.2,5.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸茼蒿,suantonghao,20,1.5,0.3,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸荞麦苗,suanqiaomaimiao,30,2.5,1.0,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸荷兰豆,suanhelandou,25,2.5,0.3,4.5,中国食物成分表,https://chinesecalorie.com/,已授权
酸荸荠,suanbiqi,60,1.0,0.2,14.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸荸荠苗,suanbiqimiao,25,2.0,0.5,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸莲子,suanlianzi,340,17.0,2.0,65.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸莴笋,suanwosun,15,1.0,0.1,3.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸菜,suancai,20,1.0,0.2,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸菠菜,suanbocai,20,2.0,0.2,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸菰米苗,suangumimiao,25,2.0,0.5,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸菱角,suanlingjiao,100,3.5,0.5,20.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸菱角苗,suanlingjiaomiao,25,2.0,0.5,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸萝卜,suanluobo,25,1.0,0.2,5.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸萝卜苗,suanluobomiao,25,2.0,0.5,4.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸葛根,suangegen,180,2.0,0.2,42.0,中国食物成分表,https://chinesecalorie.com/,已授权
酸葱,suancong,25,1.5,0.3,5.0,中国食物成分表,https://chinesecalorie.com/,已授权
