菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
闽南蚵仔面线,minnanhezaimianxian,130.0,5.0,2.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/minnan-oyster-vermicelli-cn,已授权
七里河油香,qiliheyouxiang,340.0,8.0,10.0,52.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/qilihe-fried-wheat-cake-cn,已授权
榆中煎饼,yuzhongjianbing,230.0,6.0,3.0,44.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/yuzhong-fried-wheat-pancake-cn,已授权
瓜州驼蹄冻,guazhoutuotidong,90.0,14.0,3.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/guazhou-camel-hoof-jelly-cn,已授权
临洮炒搅团,lintaochaojiaotuan,120.0,3.0,2.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/lintao-fried-wheat-noodles-cn,已授权
甘南牦牛酸奶,gannanmaoniusuannai,80.0,4.0,4.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dairy/gannan-yak-yogurt-cn,已授权
玉门油饼,yumenyoubing,320.0,7.0,11.0,48.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/yumen-fried-wheat-cake-cn,已授权
陇西蒸面鱼,longxizhengmianyu,220.0,7.0,1.0,44.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/longxi-steamed-wheat-cake-cn,已授权
白银洋芋搅团,baiyinyangyujiaotuan,110.0,2.0,0.0,25.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/baiyin-fried-potato-cake-cn,已授权
武威🍽️武威蒸羊羔肉,wuwei🍽️wuweizhengyanggaorou,247.0,18.0,19.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/wuwei-steamed-lamb-cn,已授权
酒泉炒面,jiuquanchaomian,180.0,5.0,5.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/jiuquan-fried-noodles-cn,已授权
庆阳羊肉煎饺,qingyangyangroujianjiao,220.0,9.0,8.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/qingyang-fried-lamb-dumplings-cn,已授权
平凉锅盔,pingliangguokui,270.0,8.0,3.0,52.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/pingliang-fried-flatbread-cn,已授权
张掖夹沙包,zhangyejiashabao,240.0,7.0,3.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/zhangye-stuffed-buns-cn,已授权
民勤羊肉串,minqinyangrouchuan,210.0,18.0,14.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/minqin-lamb-skewers-cn,已授权
天水凉皮,tianshuiliangpi,150.0,3.0,1.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/tianshui-liangpi-cn,已授权
和政羊肉汤面,hezhengyangroutangmian,90.0,4.0,2.0,13.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/hezheng-lamb-noodle-soup-cn,已授权
静宁油糕,jingningyougao,320.0,6.0,9.0,54.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/jingning-fried-cake-cn,已授权
定西土豆粉,dingxitudoufen,110.0,2.0,0.0,25.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/dingxi-potato-noodles-cn,已授权
客家南瓜糕,kejiananguagao,120.0,1.0,1.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/hakka-steamed-pumpkin-cake-cn,已授权
客家芋头丸,kejiayutouwan,180.0,2.0,4.0,35.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/hakka-fried-taro-balls-cn,已授权
酸菜猪肚汤,suancaizhudutang,45.0,5.0,2.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/hakka-sour-mustard-green-soup-cn,已授权
客家萝卜糕,kejialuobogao,140.0,2.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/hakka-turnip-cake-cn,已授权
艾草粄,aicaoban,180.0,3.0,1.0,40.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/hakka-mugwort-rice-cake-cn,已授权
客家酿腐皮卷,kejianiangfupijuan,180.0,10.0,9.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/hakka-stuffed-tofu-skin-rolls-cn,已授权
客家炒米粉,kejiachaomifen,160.0,3.0,3.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/hakka-stir-fried-rice-noodles-cn,已授权
客家粄粽,kejiabanzong,210.0,4.0,4.0,40.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/hakka-rice-dumplings-cn,已授权
梅菜蒸肉饼,meicaizhengroubing,210.0,13.0,15.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/hakka-steamed-pork-with-preserved-mustard-greens-cn,已授权
客家盐焗鱼,kejiayanjuyu,140.0,22.0,5.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/hakka-salt-baked-fish-cn,已授权
客家算盘子,kejiasuanpanzi,180.0,4.0,3.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/hakka-abacus-beads-cn,已授权
客家黄酒鸡,kejiahuangjiuji,180.0,15.0,11.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/hakka-rice-wine-chicken-cn,已授权
客家河粉,kejiahefen,110.0,2.0,0.0,24.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/hakka-flat-rice-noodles-cn,已授权
客家小炒,kejiaxiaochao,160.0,10.0,10.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/hakka-stir-fried-pork-with-squid-cn,已授权
藏式麻花,cangshimahua,420.0,7.0,18.0,55.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/tibetan-fried-dough-twist-cn,已授权
奶渣饼,naizhabing,320.0,14.0,10.0,42.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/tibetan-cheese-pancake-cn,已授权
酥油拌面,suyoubanmian,340.0,7.0,12.0,50.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/tibetan-buttered-noodles-cn,已授权
藏式炖菜,cangshiduncai,85.0,2.0,2.0,14.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/tibetan-vegetable-stew-cn,已授权
青稞粥,qingkezhou,70.0,2.0,0.0,14.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/tibetan-barley-porridge-cn,已授权
藏式蘑菇汤,cangshimogutang,35.0,2.0,1.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/tibetan-mushroom-soup-cn,已授权
