菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
XO酱,XOjiang,400,20.0,30.0,10.0,中国食物成分表,https://chinesecalorie.com/,已授权
丁香,dingxiang,300,6.0,10.0,50.0,中国食物成分表,https://chinesecalorie.com/,已授权
七里河油香,qiliheyouxiang,380,6.0,20.0,45.0,中国食物成分表,https://chinesecalorie.com/,已授权
三井小刀,sanjingxiaodao,298,0.0,0.0,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
三文鱼,sanwenyu,139,17.2,7.8,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
三氯蔗糖,sanlvzhetang,0,0.0,0.0,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
上海青,shanghaiqing,15,1.3,0.3,2.3,中国食物成分表,https://chinesecalorie.com/,已授权
丛台酒,congtaijiu,298,0.0,0.0,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
丝瓜,sigua,20,1.0,0.2,4.2,中国食物成分表,https://chinesecalorie.com/,已授权
乌塌菜,wutacai,20,2.6,0.4,2.8,中国食物成分表,https://chinesecalorie.com/,已授权
乌枣,wuzao,228,3.8,0.5,57.0,中国食物成分表,https://chinesecalorie.com/,已授权
乌梅,wumei,200,3.0,0.5,50.0,中国食物成分表,https://chinesecalorie.com/,已授权
乌贼,wuzei,83,15.2,0.9,3.4,中国食物成分表,https://chinesecalorie.com/,已授权
乌鳢,wuli,85,18.5,1.2,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
乌龙茶,wulongcha,0,0.1,0.0,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
乌龟,wugui,80,16.0,1.0,2.0,中国食物成分表,https://chinesecalorie.com/,已授权
九龙醉,jiulongzui,298,0.0,0.0,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
习酒,xijiu,298,0.0,0.0,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
乳扇,rushan,320,18.0,25.0,8.0,中国食物成分表,https://chinesecalorie.com/,已授权
乳清,ruqing,25,0.8,0.1,5.0,中国食物成分表,https://chinesecalorie.com/,已授权
乳糖,rutang,400,0.0,0.0,100.0,中国食物成分表,https://chinesecalorie.com/,已授权
乳酪,rulao,328,25.7,23.5,3.5,中国食物成分表,https://chinesecalorie.com/,已授权
乳饮料,ruyinliao,60,1.5,1.0,11.0,中国食物成分表,https://chinesecalorie.com/,已授权
乳饼,rubing,270,18.0,20.0,6.0,中国食物成分表,https://chinesecalorie.com/,已授权
二米饭,ermifan,120,3.0,1.0,26.0,中国食物成分表,https://chinesecalorie.com/,已授权
五粮液,wuliangye,298,0.0,0.0,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
五香干,wuxianggan,140,16.0,4.0,12.0,中国食物成分表,https://chinesecalorie.com/,已授权
五香粉,wuxiangfen,350,8.0,5.0,60.0,中国食物成分表,https://chinesecalorie.com/,已授权
亚麻籽,yamazi,534,18.3,42.2,28.9,中国食物成分表,https://chinesecalorie.com/,已授权
亚麻籽油,yamaziyou,899,0.0,99.9,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
人参果,renshenguo,40,0.7,0.1,9.5,中国食物成分表,https://chinesecalorie.com/,已授权
人心果,renxinguo,83,1.0,1.0,20.0,中国食物成分表,https://chinesecalorie.com/,已授权
人造黄油,renzaohuangyou,720,0.0,80.0,1.0,中国食物成分表,https://chinesecalorie.com/,已授权
伏特加,futejia,230,0.0,0.0,0.0,中国食物成分表,https://chinesecalorie.com/,已授权
低脂牛奶,dizhiniunai,44,3.3,1.5,4.9,中国食物成分表,https://chinesecalorie.com/,已授权
佛手瓜,foshougua,16,1.2,0.1,2.6,中国食物成分表,https://chinesecalorie.com/,已授权
保定炸糕,baodingzhagao,270,5.0,15.0,30.0,中国食物成分表,https://chinesecalorie.com/,已授权
