菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
红烧鸡枞,hongshaojicong,110.0,6.0,6.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/braised-termite-mushroom-cn,已授权
香茅草烤鸡,xiangmaocaokaoji,170.0,20.0,9.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/lemongrass-roast-chicken-cn,已授权
铜锅洋芋,tongguoyangyu,150.0,2.0,4.0,25.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/copper-pot-potato-cn,已授权
野生菌炒饭,yeshengjunchaofan,155.0,3.0,3.0,29.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/wild-mushroom-fried-rice-cn,已授权
黑山羊火锅,heishanyanghuoguo,85.0,10.0,4.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/yunnan-black-goat-hot-pot-cn,已授权
火腿月饼,huotuiyuebing,370.0,8.0,14.0,52.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/xuanwei-ham-mooncake-cn,已授权
丽江粑粑,lijiangbaba,310.0,7.0,8.0,52.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/lijiang-baba-cn,已授权
普洱茶香鸡,puerchaxiangji,180.0,19.0,10.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/puer-tea-chicken-cn,已授权
洋芋粑粑,yangyubaba,180.0,3.0,3.0,35.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/yunnan-fried-potato-cakes-cn,已授权
包浆豆腐,baojiangdoufu,150.0,10.0,9.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/baojiang-tofu-cn,已授权
酸笋鸡,suansunji,62.0,6.0,3.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/dai-sour-bamboo-shoot-chicken-cn,已授权
傣味鬼鸡,daiweiguiji,140.0,13.0,8.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/dai-ghost-chicken-cn,已授权
诺邓火腿,nuodenghuotui,251.0,28.0,15.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/nuodeng-ham-cn,已授权
腾冲大救驾,tengchongdajiujia,130.0,2.0,1.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/tengchong-dajiujia-cn,已授权
大理饵丝,daliersi,120.0,2.0,0.0,26.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/dali-ersi-cn,已授权
大理砂锅鱼,dalishaguoyu,110.0,15.0,4.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/dali-casserole-fish-cn,已授权
宜良烤鸭,yiliangkaoya,251.0,18.0,19.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/yiliang-roast-duck-cn,已授权
建水豆腐,jianshuidoufu,110.0,9.0,7.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/jianshui-grilled-tofu-cn,已授权
鲜花饼,xianhuabing,370.0,6.0,13.0,55.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/flower-cake-cn,已授权
乳扇,rushan,320.0,18.0,24.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/dairy/dali-rushan-cn,已授权
凉鸡米线,liangjimixian,140.0,5.0,2.0,26.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/cold-chicken-rice-noodles-cn,已授权
小锅米线,xiaoguomixian,120.0,3.0,2.0,24.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/small-pot-rice-noodles-cn,已授权
菠萝饭,boluofan,145.0,2.0,1.0,31.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/pineapple-rice-cn,已授权
乳饼,rubing,270.0,18.0,18.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dairy/rubing-cheese-cn,已授权
云南野生菌火锅,yunnanyeshengjunhuoguo,35.0,2.0,0.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/yunnan-mushroom-hot-pot-cn,已授权
傣味香茅烤鱼,daiweixiangmaokaoyu,140.0,18.0,6.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/dai-lemongrass-grilled-fish-cn,已授权
宣威火腿,xuanweihuotui,248.0,25.0,16.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/xuanwei-ham-cn,已授权
汽锅鸡,qiguoji,60.0,7.0,3.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/yunnan-steam-pot-chicken-cn,已授权
过桥米线,guoqiaomixian,120.0,3.0,1.0,24.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/crossing-the-bridge-rice-noodles-cn,已授权
玫瑰花糕,meiguihuagao,251.0,4.0,3.0,52.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/rose-petal-rice-cake-cn,已授权
过桥豆花,guoqiaodouhua,65.0,4.0,2.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/cross-bridge-tofu-pudding-cn,已授权
汽锅牛肉,qiguoniurou,75.0,9.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/yunnan-steam-pot-beef-cn,已授权
凉拌米线,liangbanmixian,140.0,3.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/yunnan-rice-noodle-salad-cn,已授权
火腿炒饵块,huotuichaoerkuai,180.0,7.0,4.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/er-kuai-stir-fry-with-ham-and-vegetables-cn,已授权
