菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
徽州炖甲鱼,huizhoudunjiayu,85.0,12.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/huizhou-stewed-turtle-cn,已授权
黄山烧饼,huangshanshaobing,350.0,8.0,8.0,60.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/huangshan-sesame-cake-cn,已授权
一品锅,yipinguo,65.0,4.0,2.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/yipin-guo-cn,已授权
八公山豆腐,bagongshandoufu,140.0,10.0,8.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/bagongshan-tofu-cn,已授权
符离集烧鸡,fulijishaoji,210.0,22.0,13.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/fuliji-roast-chicken-cn,已授权
问政山笋,wenzhengshansun,60.0,2.0,2.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/wenzheng-bamboo-shoots-cn,已授权
黄山炖鸽,huangshandunge,80.0,10.0,4.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/huangshan-braised-pigeon-cn,已授权
李鸿章杂烩,lihongzhangzahui,65.0,3.0,2.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/li-hongzhang-hodgepodge-cn,已授权
毛豆腐,maodoufu,150.0,12.0,9.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/mao-tofu-cn,已授权
臭鳜鱼,chouguiyu,160.0,18.0,8.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/stinky-mandarin-fish-cn,已授权
芜湖虾籽面,wuhuxiazimian,180.0,7.0,3.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/wuhu-shrimp-roe-noodles-cn,已授权
徽州酿豆腐,huizhouniangdoufu,140.0,8.0,8.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/huizhou-stuffed-tofu-cn,已授权
宿州撒汤,suzhousatang,45.0,2.0,1.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/suzhou-sa-soup-cn,已授权
绩溪挞粿,jixitaguo,230.0,5.0,3.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/jixi-tarts-cn,已授权
石耳炖鸡,shierdunji,80.0,10.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/stone-ear-stewed-chicken-cn,已授权
黄山双石,huangshanshuangshi,45.0,2.0,1.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/huangshan-double-stones-cn,已授权
方腊鱼,fanglayu,150.0,18.0,7.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/fangla-fish-cn,已授权
葡萄鱼,putaoyu,160.0,16.0,7.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/grape-fish-cn,已授权
大救驾,dajiujia,320.0,7.0,8.0,55.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/anhui-dajiujia-cn,已授权
曹操鸡,caocaoji,180.0,18.0,10.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/cao-cao-chicken-cn,已授权
淮南牛肉汤,huainanniuroutang,45.0,6.0,1.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/huainan-beef-soup-cn,已授权
屯溪醉蟹,tunxizuixie,120.0,16.0,5.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/tunxi-drunken-crab-cn,已授权
三河米饺,sanhemijiao,180.0,4.0,2.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/sanhe-rice-dumplings-cn,已授权
无为熏鸭,wuweixunya,245.0,22.0,17.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/wuwei-smoked-duck-cn,已授权
庐州烤鸭,luzhoukaoya,251.0,18.0,19.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/luzhou-roast-duck-cn,已授权
石台炒米粿,shitaichaomiguo,180.0,3.0,2.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/shitai-fried-rice-cake-cn,已授权
淮南豆腐面,huainandoufumian,110.0,6.0,2.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/huainan-tofu-noodles-cn,已授权
祁门蒸饺,qimenzhengjiao,210.0,7.0,4.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/qimen-steamed-buns-cn,已授权
徽州笋干烧肉,huizhousunganshaorou,210.0,12.0,15.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/huizhou-bamboo-shoots-with-pork-cn,已授权
无为熏鱼,wuweixunyu,180.0,18.0,10.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/wuwei-smoked-fish-cn,已授权
