菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
新疆奶茶,xinjiangnaicha,60.0,2.0,2.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/beverages/xinjiang-milk-tea-cn,已授权
丁丁炒面,dingdingchaomian,180.0,5.0,4.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/ding-ding-chao-mian-cn,已授权
馕包肉,nangbaorou,230.0,13.0,7.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/nang-bao-rou-cn,已授权
烤包子,kaobaozi,260.0,9.0,8.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/samsa-cn,已授权
馕,nang,270.0,8.0,2.0,52.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/xinjiang-naan-cn,已授权
拉条子,latiaozi,150.0,4.0,2.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/lagman-cn,已授权
抓饭,zhuafan,170.0,4.0,4.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/xinjiang-polo-cn,已授权
羊肉串,yangrouchuan,220.0,17.0,16.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/uyghur-lamb-skewers-cn,已授权
大盘鸡,dapanji,140.0,10.0,6.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/xinjiang-big-plate-chicken-cn,已授权
曲曲儿,ququer,210.0,7.0,6.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/ququre-wonton-soup-cn,已授权
黄面,huangmian,140.0,4.0,1.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/chickpea-yellow-noodles-cn,已授权
架子肉,jiazirou,220.0,20.0,15.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/xinjiang-rack-lamb-cn,已授权
南瓜薄皮包子,nanguabaopibaozi,150.0,4.0,2.0,29.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/pumpkin-manta-cn,已授权
肉馕,rounang,246.0,10.0,6.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/uyghur-meat-naan-cn,已授权
酸奶疙瘩,suannaigeda,90.0,6.0,5.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/dairy/xinjiang-yogurt-curd-cn,已授权
玛仁糖,marentang,480.0,10.0,25.0,55.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/matang-cn,已授权
丁丁汤饭,dingdingtangfan,60.0,2.0,1.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/ding-ding-soup-rice-cn,已授权
切面汤,qiemiantang,65.0,2.0,1.0,11.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/kesme-soup-cn,已授权
烤羊排,kaoyangpai,270.0,22.0,20.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/uyghur-lamb-ribs-cn,已授权
米肠子面肺子,michangzimianfeizi,180.0,7.0,7.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/opke-hessip-cn,已授权
新疆椒麻鸡,xinjiangjiaomaji,180.0,16.0,11.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/xinjiang-pepper-chicken-cn,已授权
馕坑肉,nangkengrou,246.0,19.0,18.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/nangkeng-lamb-cn,已授权
薄皮包子,baopibaozi,210.0,8.0,5.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/uyghur-manta-cn,已授权
纳仁,naren,160.0,5.0,2.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/naren-cn,已授权
新疆炒米粉,xinjiangchaomifen,170.0,4.0,3.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/xinjiang-fried-rice-noodles-cn,已授权
新疆炸南瓜饼,xinjiangzhananguabing,210.0,5.0,5.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/xinjiang-fried-pumpkin-cake-cn,已授权
羊肺汤,yangfeitang,60.0,8.0,2.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/xinjiang-lamb-lung-soup-cn,已授权
酸奶米布丁,suannaimibuding,120.0,3.0,2.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/xinjiang-yogurt-rice-pudding-cn,已授权
羊肉馕炒,yangrounangchao,210.0,10.0,9.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/xinjiang-fried-naan-with-lamb-cn,已授权
新疆抓饭汤,xinjiangzhuafantang,60.0,2.0,2.0,9.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/xinjiang-polo-soup-cn,已授权
