菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
红烧河鳗,hongshaoheman,180.0,17.0,11.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/braised-river-eel-cn,已授权
咸豆浆,xiandoujiang,60.0,3.0,3.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/salty-soy-milk-cn,已授权
蟹炒年糕,xiechaoniangao,170.0,4.0,2.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/crab-rice-cake-cn,已授权
清蒸大闸蟹,qingzhengdazhaxie,100.0,18.0,2.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/steamed-hairy-crab-cn,已授权
上海葱油饼,shanghaicongyoubing,280.0,6.0,10.0,42.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/shanghai-scallion-pancake-cn,已授权
鲜肉月饼,xianrouyuebing,320.0,7.0,16.0,35.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/fresh-meat-mooncake-cn,已授权
条头糕,tiaotougao,180.0,3.0,1.0,40.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/tiaotou-gao-cn,已授权
酒酿圆子,jiuniangyuanzi,180.0,3.0,1.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/sweet-fermented-rice-balls-cn,已授权
排骨年糕,paiguniangao,210.0,8.0,6.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/pork-chop-rice-cakes-cn,已授权
上海冷面,shanghailengmian,150.0,4.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/shanghai-cold-noodles-cn,已授权
上海大馄饨,shanghaidahuntun,180.0,7.0,4.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/shanghai-big-wonton-cn,已授权
蟹粉面,xiefenmian,170.0,7.0,4.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/crab-roe-noodles-cn,已授权
罗宋汤,luosongtang,35.0,1.0,0.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/russian-soup-cn,已授权
上海菜饭,shanghaicaifan,140.0,3.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/shanghai-vegetable-rice-cn,已授权
四喜烤麸,sixikaofu,150.0,12.0,3.0,20.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/sixi-kaofu-cn,已授权
油爆虾,youbaoxia,140.0,17.0,6.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/oil-exploded-shrimp-cn,已授权
上海炒面,shanghaichaomian,180.0,5.0,5.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/shanghai-fried-noodles-cn,已授权
蟹壳黄,xiekehuang,0.0,0.0,0.0,0.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/crab-shell-pastry-cn,已授权
粢饭团,zifantuan,180.0,4.0,2.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/cifantuan-cn,已授权
八宝鸭,babaoya,210.0,13.0,13.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/eight-treasure-duck-cn,已授权
上海熏鱼,shanghaixunyu,180.0,18.0,8.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/shanghai-smoked-fish-cn,已授权
葱油拌面,congyoubanmian,220.0,6.0,6.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/scallion-oil-noodles-cn,已授权
上海红烧肉,shanghaihongshaorou,320.0,10.0,28.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/shanghai-red-braised-pork-cn,已授权
小笼包,xiaolongbao,210.0,7.0,5.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/xiaolongbao-cn,已授权
生煎包,shengjianbao,220.0,7.0,6.0,34.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/shengjian-bao-cn,已授权
荷叶糯米饭,heyenuomifan,180.0,4.0,2.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/sticky-rice-lotus-leaf-wrap-cn,已授权
蟹粉狮子头,xiefenshizitou,210.0,13.0,14.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/shanghai-crab-meat-lions-head-cn,已授权
香菇烤麸,xianggukaofu,110.0,8.0,2.0,16.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/fried-gluten-with-mushrooms-cn,已授权
阳春面,yangchunmian,120.0,3.0,1.0,24.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/yangchun-noodles-cn,已授权
上海熏鸭,shanghaixunya,251.0,18.0,19.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/shanghai-smoked-duck-cn,已授权
