菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
腊味合蒸,laweihezheng,240.0,12.0,18.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/steamed-preserved-meats-cn,已授权
腊八豆腐,labadoufu,120.0,10.0,7.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/laba-tofu-cn,已授权
剁椒芋头,duojiaoyutou,110.0,2.0,2.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/chopped-pepper-taro-cn,已授权
口味虾,kouweixia,120.0,16.0,4.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/spicy-crayfish-cn,已授权
湘西酸鱼,xiangxisuanyu,120.0,16.0,5.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/xiangxi-sour-fish-cn,已授权
血鸭,xueya,180.0,18.0,11.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/blood-duck-cn,已授权
常德牛肉粉,changdeniuroufen,130.0,5.0,2.0,23.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/changde-beef-rice-noodles-cn,已授权
湖南米粉,hunanmifen,140.0,3.0,1.0,29.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/hunan-rice-noodles-cn,已授权
长沙臭豆腐,changshachoudoufu,210.0,10.0,15.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/changsha-stinky-tofu-cn,已授权
辣椒炒肉,lajiaochaorou,185.0,14.0,12.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/stir-fried-pork-with-chili-cn,已授权
东安鸡,donganji,180.0,17.0,10.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/dongan-chicken-cn,已授权
湖南腊肉,hunanlarou,350.0,15.0,32.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/hunan-smoked-pork-cn,已授权
剁椒鱼头,duojiaoyutou,120.0,16.0,4.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/steamed-fish-head-with-chopped-chili-cn,已授权
毛氏红烧肉,maoshihongshaorou,320.0,8.0,30.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/chairman-mao-red-braised-pork-cn,已授权
口味螺,kouweiluo,110.0,16.0,3.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/changsha-spicy-snails-cn,已授权
腊肉炒萝卜干,larouchaoluobogan,180.0,7.0,13.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/smoked-pork-with-dried-radish-cn,已授权
洞庭甲鱼,dongtingjiayu,120.0,16.0,4.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/dongting-braised-turtle-cn,已授权
土家合渣,tujiahezha,60.0,4.0,2.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/tujia-hezha-cn,已授权
香辣牛蛙,xianglaniuwa,140.0,17.0,6.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/spicy-bullfrog-cn,已授权
剁椒蒸茄子,duojiaozhengqiezi,70.0,1.0,4.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/steamed-eggplant-with-chopped-chili-cn,已授权
酸豆角肉末,suandoujiaoroumo,140.0,9.0,8.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/sour-long-beans-with-minced-pork-cn,已授权
永州啤酒鸭,yongzhoupijiuya,180.0,16.0,11.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/yongzhou-beer-duck-cn,已授权
长沙米豆腐,changshamidoufu,110.0,2.0,1.0,23.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/changsha-rice-tofu-cn,已授权
糖油粑粑,tangyoubaba,320.0,4.0,12.0,50.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/changsha-sugar-oil-baba-cn,已授权
湘西土匪鸭,xiangxitufeiya,210.0,17.0,14.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/xiangxi-bandit-duck-cn,已授权
