菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
高邮咸鸭蛋,gaoyouxianyadan,180.0,12.0,14.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/gaoyou-salted-duck-egg-cn,已授权
软兜长鱼,ruandouzhangyu,110.0,16.0,4.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/huaiyang-soft-eel-cn,已授权
银鱼炒蛋,yinyuchaodan,140.0,12.0,9.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/silverfish-omelette-cn,已授权
南京烤鸭,nanjingkaoya,251.0,18.0,19.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/nanjing-roast-duck-cn,已授权
苏式汤面,sushitangmian,120.0,4.0,2.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/suzhou-noodles-cn,已授权
镇江肴肉,zhenjiangyaorou,247.0,18.0,19.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/zhenjiang-crystal-pork-cn,已授权
大煮干丝,dazhugansi,90.0,7.0,4.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/boiled-shredded-dried-tofu-cn,已授权
三丁包,sandingbao,210.0,6.0,4.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/yangzhou-sanding-bao-cn,已授权
蟹黄汤包,xiehuangtangbao,210.0,9.0,7.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/crab-roe-soup-dumplings-cn,已授权
叫花鸡,jiaohuaji,210.0,22.0,13.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/beggars-chicken-cn,已授权
鸭血粉丝汤,yaxuefensitang,45.0,3.0,1.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/duck-blood-vermicelli-soup-cn,已授权
无锡排骨,wuxipaigu,220.0,14.0,13.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/wuxi-spare-ribs-cn,已授权
松鼠桂鱼,songshuguiyu,180.0,16.0,7.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/squirrel-mandarin-fish-cn,已授权
扬州炒饭,yangzhouchaofan,170.0,4.0,4.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/rice/yangzhou-fried-rice-cn,已授权
狮子头,shizitou,220.0,12.0,15.0,9.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/lions-head-meatballs-cn,已授权
南京盐水鸭,nanjingyanshuiya,210.0,24.0,12.0,1.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/nanjing-salted-duck-cn,已授权
淮安平桥豆腐,huaianpingqiaodoufu,45.0,3.0,2.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/huaian-pingqiao-tofu-cn,已授权
红烧河豚,hongshaohetun,120.0,18.0,3.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/braised-pufferfish-cn,已授权
黄桥烧饼,huangqiaoshaobing,320.0,7.0,10.0,50.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/huangqiao-sesame-cake-cn,已授权
泰州鱼汤面,taizhouyutangmian,120.0,4.0,2.0,20.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/taizhou-fish-soup-noodles-cn,已授权
奥灶面,aozaomian,130.0,4.0,2.0,25.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/aozao-noodles-cn,已授权
盱眙十三香龙虾,xuyishisanxianglongxia,120.0,16.0,4.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/xuyi-thirteen-spice-crayfish-cn,已授权
徐州地锅鸡,xuzhoudiguoji,180.0,13.0,9.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/xuzhou-diguo-chicken-cn,已授权
霸王别姬,bawangbieji,60.0,6.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/farewell-my-concubine-cn,已授权
文思豆腐,wensidoufu,60.0,4.0,3.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/wensi-tofu-cn,已授权
扬州三套早,yangzhousantaozao,200.0,6.0,5.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/yangzhou-three-set-breakfast-cn,已授权
苏州水晶虾仁,suzhoushuijingxiaren,110.0,16.0,3.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/suzhou-crystal-shrimp-cn,已授权
鸭血卷粉,yaxuejuanfen,110.0,5.0,1.0,19.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/nanjing-duck-blood-vermicelli-roll-cn,已授权
无锡糖醋排骨,wuxitangcupaigu,244.0,13.0,16.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/wuxi-sweet-and-sour-spare-ribs-cn,已授权
扬州狮子头火锅,yangzhoushizitouhuoguo,90.0,6.0,5.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/yangzhou-lions-head-hotpot-cn,已授权
