菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
串串香,chuanchuanxiang,180.0,9.0,9.0,15.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/chongqing-skewer-hot-pot-cn,已授权
卤鸡爪,lujizhao,210.0,18.0,14.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/chongqing-braised-chicken-feet-cn,已授权
烤脑花,kaonaohua,220.0,11.0,18.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/street-food/chongqing-grilled-brain-cn,已授权
江湖鱼,jianghuyu,140.0,16.0,6.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/jianghu-spicy-fish-cn,已授权
重庆冰粉,chongqingbingfen,110.0,0.0,0.0,27.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/chongqing-ice-jelly-cn,已授权
板凳面,bandengmian,150.0,4.0,2.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/chongqing-bench-noodles-cn,已授权
红糖糍粑,hongtangciba,240.0,3.0,4.0,48.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/brown-sugar-glutinous-rice-cake-cn,已授权
山城小汤圆,shanchengxiaotangyuan,190.0,3.0,2.0,40.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/shancheng-small-tangyuan-cn,已授权
永川豆豉鱼,yongchuandouchiyu,180.0,16.0,11.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/yongchuan-black-bean-fish-cn,已授权
重庆啤酒鸭,chongqingpijiuya,210.0,17.0,14.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/chongqing-beer-duck-cn,已授权
芋儿鸡,yuerji,160.0,10.0,8.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/chongqing-taro-chicken-cn,已授权
南山泉水鸡,nanshanquanshuiji,190.0,18.0,12.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/nanshan-spring-water-chicken-cn,已授权
璧山兔,bishantu,180.0,18.0,10.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/bishan-rabbit-cn,已授权
合川肉片,hechuanroupian,180.0,16.0,10.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/hechuan-pork-slices-cn,已授权
重庆米豆腐,chongqingmidoufu,90.0,2.0,1.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/chongqing-rice-tofu-cn,已授权
磁器口陈麻花,ciqikouchenmahua,420.0,7.0,18.0,60.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/ciqikou-chen-mahua-cn,已授权
重庆凉面,chongqingliangmian,180.0,5.0,4.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/chongqing-cold-noodles-cn,已授权
豌杂面,wanzamian,180.0,6.0,3.0,32.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/pea-and-pork-sauce-noodles-cn,已授权
豆花鱼,douhuayu,120.0,15.0,5.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/tofu-pudding-fish-cn,已授权
黔江鸡杂,qianjiangjiza,140.0,16.0,7.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/qianjiang-chicken-giblets-cn,已授权
万州烤鱼,wanzhoukaoyu,180.0,18.0,9.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/wanzhou-grilled-fish-cn,已授权
毛血旺,maoxuewang,110.0,7.0,7.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/mao-xue-wang-cn,已授权
重庆小面,chongqingxiaomian,180.0,5.0,5.0,30.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/chongqing-xiao-mian-cn,已授权
辣子鸡,laziji,210.0,16.0,13.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/laziji-cn,已授权
重庆火锅,chongqinghuoguo,90.0,4.0,5.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/chongqing-hot-pot-cn,已授权
