菜品名称,别名,能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g),来源名称,来源链接,授权状态
山东大包,shandongdabao,230.0,8.0,4.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/shandong-big-bun-cn,已授权
拔丝地瓜,basidigua,220.0,1.0,5.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/desserts/caramelized-sweet-potato-cn,已授权
孔府一品锅,kongfuyipinguo,65.0,5.0,2.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/kongfu-yipin-guo-cn,已授权
烟台鲅鱼,yantaibayu,150.0,22.0,5.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/yantai-braised-mackerel-cn,已授权
蓬莱小面,penglaixiaomian,180.0,5.0,1.0,36.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/penglai-noodles-cn,已授权
周村烧饼,zhoucunshaobing,420.0,10.0,10.0,72.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/zhoucun-sesame-pancake-cn,已授权
济南油旋,jinanyouxuan,320.0,7.0,11.0,48.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/jinan-youxuan-cn,已授权
博山豆腐箱,boshandoufuxiang,180.0,9.0,11.0,10.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/boshan-tofu-box-cn,已授权
潍坊朝天锅,weifangchaotianguo,85.0,6.0,3.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/weifang-chaotianguo-cn,已授权
胶东海鲜饺子,jiaodonghaixianjiaozi,180.0,8.0,3.0,28.0,中餐卡路里,https://chinesecalorie.com/china/foods/dumplings/jiaodong-seafood-dumplings-cn,已授权
酱焖黄花鱼,jiangmenhuanghuayu,140.0,17.0,5.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/yellow-croaker-with-sweet-bean-sauce-cn,已授权
一品豆腐,yipindoufu,110.0,7.0,6.0,7.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/shandong-yipin-tofu-cn,已授权
山东煎饼,shandongjianbing,210.0,7.0,3.0,38.0,中餐卡路里,https://chinesecalorie.com/china/foods/breakfast/shandong-pancake-cn,已授权
四喜丸子,sixiwanzi,210.0,11.0,14.0,8.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/four-joy-meatballs-cn,已授权
油爆海螺,youbaohailuo,120.0,17.0,4.0,3.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/oil-exploded-conch-cn,已授权
油焖大虾,youmendaxia,140.0,16.0,6.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/braised-prawns-in-oil-cn,已授权
辣炒蛤蜊,lachaogeli,90.0,13.0,2.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/qingdao-spicy-clams-cn,已授权
九转大肠,jiuzhuandachang,246.0,15.0,18.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/nine-turn-large-intestine-cn,已授权
博山酥锅,boshansuguo,210.0,12.0,10.0,18.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/boshan-crispy-pot-cn,已授权
济南把子肉,jinanbazirou,290.0,13.0,24.0,5.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/jinan-bazi-pork-cn,已授权
葱烧海参,congshaohaishen,85.0,8.0,3.0,6.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/braised-sea-cucumber-with-scallion-cn,已授权
奶汤蒲菜,naitangpucai,35.0,2.0,1.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/soup/milk-soup-with-cattail-cn,已授权
糖醋鲤鱼,tangculiyu,180.0,15.0,8.0,12.0,中餐卡路里,https://chinesecalorie.com/china/foods/seafood/sweet-and-sour-carp-cn,已授权
德州扒鸡,dezhoupaji,210.0,22.0,13.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/dezhou-braised-chicken-cn,已授权
爆炒腰花,baochaoyaohua,120.0,16.0,5.0,4.0,中餐卡路里,https://chinesecalorie.com/china/foods/stir-fry/stir-fried-pork-kidney-cn,已授权
山东葱油饼,shandongcongyoubing,270.0,6.0,7.0,45.0,中餐卡路里,https://chinesecalorie.com/china/foods/bakery/shandong-scallion-oil-pancake-cn,已授权
烟台花生酥,yantaihuashengsu,500.0,12.0,30.0,50.0,中餐卡路里,https://chinesecalorie.com/china/foods/snacks/yantai-peanut-brittle-cn,已授权
青岛蛤蜊面,qingdaogelimian,130.0,5.0,2.0,22.0,中餐卡路里,https://chinesecalorie.com/china/foods/noodles/qingdao-clam-noodle-soup-cn,已授权
山东烤鱿鱼串,shandongkaoyouyuchuan,110.0,18.0,3.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/grilled/shandong-grilled-squid-skewers-cn,已授权
鲁式扒鸡,lushipaji,180.0,21.0,10.0,2.0,中餐卡路里,https://chinesecalorie.com/china/foods/dinner/shandong-braised-chicken-cn,已授权
